volume,direction,correspondent,date,year
3,to,Rev. Mr. Cole,"Arlington-street, Feb.«l, 1768",1768
3,to,George Montagu,"Arlington-street, March 12, 1768",1768
3,to,George Montagu,"Strawberry-hill, April 15, 1768",1768
3,to,Rev. Mr. Cole,"Strawberry-hill, April 16, 1768",1768
3,to,Rev. Mr. Cole,"Strawberry-hill, June 6, 1768",1768
3,to,George Montagu,"Strawberry-hill, June 16, 1768",1768
3,to,Earl of Strafford,"Strawberry-hill, June 25, 1768",1768
3,to,Hon. H. S. Conway,"Strawberry-hill, August 9, 1 768",1768
3,to,George Montagu,"Arlington-street, Aug. 13, 1768",1768
3,to,Earl of Strafford,"Strawberry- hill, Aug. 16, 1768",1768
